quote,author,source,likes,tags
"Pursue what catches your heart, not what catches your eyes.",Roy T. Bennett,The Light in the Heart,5123,"['gratitude', 'heart', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'thoughts']"
Start each day with a positive thought and a grateful heart.,Roy T. Bennett,The Light in the Heart,4699,"['gratitude', 'heart', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'thoughts']"
Be grateful for what you already have while you pursue your goals.,Roy T. Bennett,The Light in the Heart,4603,"['goal', 'goals', 'gratitude', 'happiness', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'leader', 'leadership', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
"Everything can be taken from a man but one thing: the last of the human freedoms—to choose one’s attitude in any given set of circumstances, to choose one’s own way.",Viktor E. Frankl,Man's Search for Meaning,4351,"['inspirational', 'motivational']"
"Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.",Roy T. Bennett,The Light in the Heart,4296,"['challenge', 'enjoy-the-journey', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'keep-moving-forward', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'move-on', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
Be brave to stand for what you believe in even if you stand alone.,Roy T. Bennett,The Light in the Heart,4157,"['belief', 'beliefs', 'believe', 'courage', 'courage-quotes', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
"Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.",Steve Maraboli,,4064,"['destiny', 'happiness', 'history', 'inspirational', 'let-go', 'letting-go', 'life', 'motivational', 'moving-on', 'success']"
Never lose hope. Storms make people stronger and never last forever.,Roy T. Bennett,The Light in the Heart,3977,"['adversity', 'difficulty', 'hope', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'perseverance', 'persistence', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'storms']"
Do not fear failure but rather fear not trying.,Roy T. Bennett,The Light in the Heart,3895,"['failure', 'fearless', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quote', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-philosophy', 'life-quotes', 'living', 'motivation', 'motivational', 'never-give-up', 'optimism', 'optimistic', 'persistence', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'trying']"
"Lack of direction, not lack of time, is the problem. We all have twenty-four hour days.",Zig Ziglar,,3311,"['attention', 'direction', 'focus', 'inspirational', 'motivational']"
