quote,author,source,likes,tags
"Maturity is when you stop complaining and making excuses, and start making changes.",Roy T. Bennett,The Light in the Heart,1597,"['change', 'choice', 'choices', 'excuse', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
"When in a relationship, a real man doesn't make his woman jealous of others, he makes others jealous of his woman.",Steve Maraboli,Unapologetically You: Reflections on Life and the Human Experience,1593,"['boyfriend', 'girlfriend', 'inspirational', 'jealous', 'life', 'love', 'marriage', 'men', 'motivational', 'relationship', 'women']"
What's done is done. What's gone is gone. One of life's lessons is always moving on. It’s okay to look back to see how far you’ve come but keep moving forward.,Roy T. Bennett,The Light in the Heart,1578,"['inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'keep-going', 'keep-moving-forward', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
Strong people have a strong sense of self-worth and self-awareness; they don’t need the approval of others.,Roy T. Bennett,The Light in the Heart,1575,"['inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'self-awareness', 'self-worth', 'strong']"
"Never stop dreaming,",Roy T. Bennett,The Light in the Heart,1567,"['believe', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'learning', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'never-give-up', 'never-stop-believing', 'never-stop-dreaming', 'never-stop-learning', 'never-stop-trying', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'success']"
"When the going gets tough, put one foot in front of the other and just keep going. Don’t give up.",Roy T. Bennett,The Light in the Heart,1500,"['adversity', 'challenge', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'keep-going', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'never-give-up', 'optimism', 'optimistic', 'persistence', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
"Stop giving other people the power to control your happiness, your mind, and your life. If you don't take control of yourself and your own life, someone else is bound to try.",Roy T. Bennett,The Light in the Heart,1444,"['happiness', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'mind', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
"At the end of the day, let there be no excuses, no explanations, no regrets.",Steve Maraboli,"Life, the Truth, and Being Free",1408,"['appreciation', 'excuses', 'gratitude', 'inspirational', 'life', 'motivational', 'no-regrets', 'seize-the-day', 'success']"
"We all make mistakes, have struggles, and even regret things in our past. But you are not your mistakes, you are not your struggles, and you are here NOW with the power to shape your day and your future.",Steve Maraboli,Unapologetically You: Reflections on Life and the Human Experience,1381,"['inspirational', 'life', 'living-now', 'mistakes', 'motivational', 'regret', 'self-empowerment', 'struggles']"
"If you have a strong purpose in life, you don't have to be pushed. Your passion will drive you there.",Roy T. Bennett,The Light in the Heart,1364,"['inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'leadership', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'passion', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'purpose']"
